Temperature (C),Humidity,Pressure (millibars)
11.09444444,0.95,1017.43
9.883333333,0.96,1017.65
9.355555556,0.96,1017.56
9.861111111,0.96,1016.16
8.272222222,0.99,1017.16
8.866666667,0.96,1017.15
8.816666667,0.96,1017.28
7.155555556,1,1017.15
8.85,0.99,1017.36
11.17777778,0.93,1017.7
12.38888889,0.98,1017.72
14.14444444,0.88,1017.82
17.1,0.72,1017.77
18.93888889,0.64,1017.3
17.91666667,0.68,1016.9
19.98333333,0.53,1016.4
20.07222222,0.62,1015.9
20.07222222,0.56,1015.29
20.08333333,0.58,1014.9
19.08888889,0.63,1014.68
17.45,0.62,1014.78
15.56666667,0.74,1015.04
12.49444444,0.91,1015.51
12.24444444,0.89,1015.72
11.41666667,0.92,1015.79
10.55555556,0.95,1015.83
10.46666667,0.93,1015.95
10.25,0.95,1017.13
9.355555556,0.96,1015.82
8.311111111,0.96,1015.82
8.811111111,0.96,1015.89
8.733333333,0.93,1015.83
11.93333333,0.93,1016.12
14.51666667,0.84,1016.23
18.73333333,0.68,1016.23
20.02777778,0.6,1016.38
21.03888889,0.55,1016.66
20.73888889,0.46,1016.58
22.31666667,0.48,1016.27
22.11111111,0.5,1015.96
22.73333333,0.38,1015.34
22.77777778,0.37,1014.7
21.21666667,0.41,1015.2
20.18333333,0.45,1014.87
18.01111111,0.68,1014.78
17.42222222,0.65,1015.54
13.96111111,0.82,1016.01
13.28888889,0.89,1016.52
12.32222222,0.89,1016.96
11.11666667,0.95,1017.04
10.53333333,0.95,1017.33
12.38333333,0.8,1019.59
9.861111111,0.96,1017.25
8.872222222,0.95,1017.42
8.672222222,0.94,1017.74
7.688888889,1,1018.13
10.91111111,0.99,1018.62
14.83888889,0.82,1019.08
18.8,0.65,1019.11
21.09444444,0.49,1019.5
22.02777778,0.49,1019.86
22.82777778,0.47,1019.79
22.91666667,0.37,1019.47
23.91666667,0.37,1019.25
23.91111111,0.4,1018.89
23.93333333,0.37,1018.6
23.91666667,0.32,1018.67
22.82222222,0.44,1018.59
21.22777778,0.48,1018.67
19.07777778,0.51,1019.22
17.06111111,0.63,1019.88
14.90555556,0.72,1019.91
13.08333333,0.87,1020.02
12.71111111,0.89,1020.11
12.12777778,0.89,1020.12
11.81111111,0.84,1018.38
12.01666667,0.8,1019.91
12.04444444,0.8,1020.03
10.62777778,0.86,1020.39
9.911111111,0.99,1020.6
12.55555556,0.9,1020.81
15.00555556,0.78,1021.01
17.33888889,0.74,1020.94
19.1,0.67,1020.66
21.26111111,0.57,1020.53
22.41111111,0.54,1020.16
22.93888889,0.5,1019.95
23.92777778,0.47,1019.43
23.96111111,0.47,1018.97
23.96111111,0.38,1018.28
23.11111111,0.42,1017.97
22.82222222,0.44,1017.68
21.11111111,0.47,1017.89
18.18888889,0.58,1017.96
16.01666667,0.72,1018.31
15.46666667,0.72,1018.6
14.60555556,0.76,1018.65
13.31111111,0.82,1018.44
12.73333333,0.83,1018.23
13.78888889,0.77,1014.58
10.57777778,0.88,1018.11
10.48333333,0.92,1017.73
10.28888889,0.91,1017.7
9.972222222,0.92,1017.62
13.63888889,0.9,1017.54
16.73888889,0.74,1017.7
18.83888889,0.65,1017.78
21.16111111,0.59,1017.3
22.58888889,0.53,1017.19
22.89444444,0.48,1016.68
24.00555556,0.47,1016.08
24.00555556,0.35,1015.62
23.97777778,0.44,1014.86
25.04444444,0.32,1013.97
24.07777778,0.35,1013.39
22.38333333,0.45,1013.18
21.20555556,0.52,1013.21
18.26111111,0.62,1013.75
17.2,0.67,1014.13
15.99444444,0.75,1014.13
15.96111111,0.79,1014.06
15.44444444,0.72,1013.92
14.37222222,0.75,1013.82
13.60555556,0.9,1012.67
12.82222222,0.82,1013.04
12.75,0.83,1013.03
11.41666667,0.92,1012.98
12.33333333,0.86,1012.83
14.90555556,0.78,1013.03
15.89444444,0.74,1013.13
17.22777778,0.72,1013.13
17.82777778,0.73,1013.1
17.91666667,0.72,1013.17
19.05555556,0.67,1013
20.14444444,0.67,1012.69
20.26111111,0.62,1012.54
21.20555556,0.62,1011.87
21.25555556,0.67,1011.19
20.23333333,0.66,1011.17
19.07777778,0.71,1011.08
17.94444444,0.77,1011.28
15.49444444,0.82,1012.08
14.14444444,0.89,1012.64
14.53888889,0.86,1012.79
14.13888889,0.86,1012.79
13.4,0.9,1012.56
13.42777778,0.9,1012.8
11.58888889,0.74,1009.9
14.42222222,0.83,1011.91
13.91666667,0.86,1011.72
13.4,0.9,1011.51
13.86666667,0.9,1011.51
14.90555556,0.84,1011.6
15.93333333,0.74,1011.59
17.12777778,0.65,1011.41
18.75,0.58,1011.2
18.96111111,0.6,1011.25
19.99444444,0.54,1010.98
21.11111111,0.5,1010.48
21.09444444,0.46,1010.24
21.17777778,0.43,1009.55
21.22777778,0.41,1009.04
20.1,0.45,1008.55
19.02777778,0.51,1008.17
17.85,0.59,1008.46
16.26111111,0.66,1008.94
14.98333333,0.72,1009.55
14.46666667,0.65,1009.57
13.94444444,0.6,1009.53
12.31666667,0.65,1009.56
11.76111111,0.66,1009.47
10.82777778,0.62,1011.18
10.13888889,0.73,1009.25
10.62777778,0.71,1008.87
10.60555556,0.69,1008.82
10.07222222,0.71,1008.84
11.16111111,0.71,1009.07
12.88888889,0.67,1009.23
15.05,0.6,1009.25
15.16111111,0.59,1009.44
16.27222222,0.56,1009.76
17.8,0.46,1009.34
17.93888889,0.46,1009.14
18.85555556,0.41,1009.01
17.98888889,0.43,1008.83
17.96111111,0.51,1008.43
17.36111111,0.47,1008.7
16.25,0.52,1009.03
14.12222222,0.47,1009.42
12.95,0.55,1010.18
12.24444444,0.52,1010.85
11.68888889,0.57,1011.08
11.15555556,0.59,1011.22
9.216666667,0.9,1014.24
8.683333333,0.9,1014.73
9.188888889,0.77,1013.46
8.594444444,0.93,1014.81
7.505555556,0.93,1014.35
6.216666667,0.95,1014.42
5.855555556,0.93,1014.35
5.933333333,1,1014.55
10.40555556,1,1014.91
12.54444444,0.78,1014.44
13.86111111,0.77,1014.52
15.97777778,0.63,1014.75
17.26666667,0.57,1014.41
17.84444444,0.5,1014.02
16.42777778,0.54,1013.55
17.77777778,0.46,1013.02
17.84444444,0.45,1011.95
17.3,0.5,1012.11
15.18333333,0.65,1012.13
13.00555556,0.7,1012.52
12.69444444,0.74,1013.08
12.19444444,0.72,1013.35
12.08333333,0.71,1013.19
10.61666667,0.74,1013.54
11.6,0.57,1011.68
11.02222222,0.6,1011.79
11.88888889,0.6,1013.76
10.41666667,0.64,1011.39
10.3,0.67,1011.42
9.483333333,0.72,1011.65
9.772222222,0.68,1011.83
10.93333333,0.67,1012.42
11.65555556,0.66,1012.96
13.93888889,0.55,1012.97
15.02777778,0.54,1013.36
16.03888889,0.47,1013.41
15.22777778,0.51,1013.34
16.20555556,0.44,1013.62
17.3,0.43,1013.28
17.77777778,0.43,1012.98
17.8,0.38,1012.5
17.26111111,0.39,1012.61
17.2,0.38,1012.88
15.02222222,0.45,1012.98
13.92777778,0.47,1013.73
12.36666667,0.57,1014.17
12.29444444,0.59,1014.46
12.78888889,0.56,1014.45
9.533333333,0.76,1013.49
9.972222222,0.71,1013.41
4.911111111,0.91,1015.4
7.916666667,0.78,1013.19
7.383333333,0.82,1012.8
7.972222222,0.82,1013.1
8.816666667,0.84,1013.14
8.794444444,0.84,1013.64
7.888888889,0.89,1014.12
7.8,0.96,1014.48
7.822222222,0.95,1014.97
7.944444444,0.95,1015.66
8.077777778,0.94,1015.89
10.22777778,0.81,1015.69
11.36111111,0.74,1015.59
12.45,0.7,1015.24
12.91666667,0.67,1014.77
12.55,0.62,1014.73
12.38333333,0.69,1014.49
10.22777778,0.75,1014.7
9.227777778,0.78,1015.38
7.827777778,0.87,1015.81
6.677777778,0.91,1015.89
6.122222222,0.91,1015.9
5.327777778,0.95,1015.92
4.355555556,0.95,1015.89
9.272222222,0.89,1007.55
4.261111111,0.92,1015.21
3.216666667,0.92,1015.18
3.905555556,0.92,1014.89
2.711111111,0.96,1014.29
3.816666667,1,1014.35
6.883333333,0.93,1014
8.938888889,0.88,1013.53
11.20555556,0.79,1013.05
12.85,0.7,1012.74
13.96111111,0.63,1011.92
14.97777778,0.51,1010.87
14.02777778,0.57,1009.99
15.02222222,0.51,1008.85
15.04444444,0.54,1007.74
15.08888889,0.5,1007.07
14.95,0.51,1006.26
13.81666667,0.59,1005.77
12.91666667,0.64,1005.19
13.83888889,0.59,1004.85
12.75555556,0.69,1005.49
12.65,0.74,1005.64
11.68888889,0.8,1005.45
10.62777778,0.88,1005.65
5.666666667,0.91,1012.87
10.05,0.92,1006.34
9.977777778,0.93,1006.47
9.777777778,0.95,1007.16
8.661111111,0.99,1007.18
7.55,0.95,1007.86
7.233333333,0.93,1008.4
6.044444444,0.92,1008.86
6.094444444,0.85,1009.1
6.116666667,0.82,1010.06
6.066666667,0.86,1010.67
6.038888889,0.93,1011.06
6.888888889,0.93,1011.03
7.061111111,0.86,1011.14
6.038888889,0.93,1011.61
6.072222222,0.93,1011.86
5.044444444,0.93,1011.93
5.022222222,0.92,1012.4
5.033333333,0.93,1013.23
5,0.93,1013.8
4.977777778,0.93,1014.08
4.933333333,0.87,1013.96
4.466666667,0.92,1013.9
4.444444444,0.92,1014.39
4.011111111,0.83,1016.82
4.905555556,0.86,1014.18
4.883333333,0.83,1014.27
4.388888889,0.89,1014.14
4.838888889,0.86,1014.11
4.811111111,0.83,1014.41
4.944444444,0.84,1014.9
7.2,0.65,1014.98
7.777777778,0.67,1014.97
8.727777778,0.64,1015.52
8.983333333,0.57,1015.64
10,0.5,1015.72
10.09444444,0.55,1015.47
11.06111111,0.46,1015.24
10.13888889,0.42,1015.14
11.01111111,0.42,1015.13
10.11666667,0.49,1015.39
7.916666667,0.57,1015.7
7.333333333,0.63,1016.2
5.05,0.75,1016.83
3.933333333,0.76,1017.12
4.094444444,0.77,1017.38
3.8,0.82,1017.32
2.688888889,0.85,1017.42
5.066666667,0.81,1018.24
2.6,0.85,1017.33
1.583333333,0.92,1017.53
2.155555556,0.9,1017.7
0.955555556,0.92,1017.84
0.955555556,0.92,1018.13
5.594444444,0.82,1018.47
9.822222222,0.66,1018.32
11.07222222,0.54,1018.59
11.05555556,0.48,1018.68
12.24444444,0.43,1018.49
12.85,0.41,1018.38
12.88888889,0.38,1018.35
12.91666667,0.4,1017.58
13.88888889,0.46,1017.37
13.02222222,0.48,1017.37
12.38333333,0.49,1017.24
10.20555556,0.57,1017.45
9.144444444,0.62,1017.83
7.827777778,0.68,1018.17
7.733333333,0.65,1018.28
7.144444444,0.69,1018.37
6.016666667,0.74,1018.39
5.461111111,0.76,1018.49
8.244444444,0.72,1015.16
3.838888889,0.82,1018.18
2.244444444,0.91,1018.29
2.022222222,0.93,1018.28
2.172222222,0.92,1018.08
3.661111111,0.89,1018.6
6.111111111,0.79,1018.66
10.00555556,0.66,1018.38
12.24444444,0.52,1018.46
12.93888889,0.5,1018.34
13.98333333,0.5,1017.86
15.09444444,0.44,1017.26
16.25,0.43,1016.76
17.26666667,0.41,1016.04
17.28888889,0.38,1015.06
17.38888889,0.37,1014.68
17.28888889,0.38,1014.36
15.08888889,0.44,1014.16
11.71111111,0.58,1014.36
11.16111111,0.61,1014.6
10.02777778,0.68,1014.69
10.13888889,0.65,1014.51
21.01666667,0.87,1012.02
19.44444444,0.9,1012.22
20.72222222,0.81,1008.65
18.79444444,0.93,1012.11
17.73333333,0.93,1011.63
17.60555556,0.95,1011.84
18.73333333,0.93,1011.81
22.55555556,0.8,1011.72
24.76111111,0.7,1011.86
27.17222222,0.56,1011.67
28.91111111,0.55,1011.27
30.95555556,0.42,1011.07
32.17222222,0.38,1010.47
32.12777778,0.32,1010.07
31.98333333,0.35,1009.69
32.53888889,0.38,1008.95
31.97777778,0.4,1008.2
32.01111111,0.41,1007.57
30.94444444,0.39,1007.1
28.57222222,0.5,1007.04
27.09444444,0.59,1007.03
24.69444444,0.65,1006.95
24.13888889,0.7,1007.07
23.12222222,0.77,1007.62
15.56111111,0.92,1011.53
15.49444444,0.87,1011.34
16.53888889,0.91,1008.66
13.8,0.9,1011.04
13.31666667,0.9,1011.12
12.60555556,0.92,1010.9
12.32777778,0.93,1011.54
14.96666667,0.87,1010.85
16.26111111,0.87,1010.89
16.25,0.92,1010.93
18.88888889,0.89,1010.64
21.35,0.76,1010.56
21.20555556,0.76,1010.5
22.33888889,0.72,1010.09
23.03333333,0.66,1009.62
23.91111111,0.62,1008.8
24.97777778,0.51,1008.39
23.8,0.58,1007.71
23.59444444,0.53,1007.66
22.50555556,0.68,1007.66
20.01666667,0.78,1007.6
19.91111111,0.74,1007.87
19.35555556,0.76,1008.35
17.88333333,0.85,1008.32
17.25,0.89,1008.16
16.62777778,0.92,1008.15
15.84444444,0.84,1009.37
17,0.92,1008.06
17.06666667,0.86,1007.86
16.50555556,0.79,1008.06
14.98333333,0.83,1007.87
16.02222222,0.81,1007.98
16.16111111,0.81,1008.07
18.84444444,0.68,1007.86
21.11666667,0.68,1007.95
22.50555556,0.62,1008.2
23.79444444,0.54,1007.95
23.88888889,0.51,1008.03
25.83333333,0.44,1008.03
25.92777778,0.43,1007.73
25,0.42,1007.71
24.94444444,0.43,1007.73
24.92777778,0.45,1007.81
22.8,0.51,1008.02
19.33888889,0.7,1008.55
17.80555556,0.78,1008.62
17.78333333,0.75,1008.73
16.48888889,0.79,1009.41
15.69444444,0.83,1009.79
15.62777778,0.81,1009.69
16.21111111,0.93,1007.41
15.57777778,0.84,1009.61
15.57777778,0.81,1009.32
15.60555556,0.81,1009.37
15.05,0.83,1009.14
17.06666667,0.73,1009.12
17.48333333,0.72,1009.19
17.66666667,0.71,1009.19
18.8,0.69,1008.99
19.68333333,0.67,1008.93
18.82222222,0.78,1008.11
20,0.77,1007.52
21.15,0.72,1007.29
23.65555556,0.67,1006.83
23.61666667,0.6,1006.16
23.81666667,0.62,1005.9
22.03888889,0.7,1005.65
19.95,0.7,1006.32
18.92222222,0.8,1006.71
17.26666667,0.88,1007.17
16.17777778,0.9,1007.38
15.83333333,0.93,1007.32
16.73333333,0.93,1007.28
16.71111111,0.97,1006.86
16.26666667,0.97,1009.54
16.13888889,0.97,1007.4
16.08888889,0.97,1006.87
15.55555556,0.96,1007.66
14.51666667,1,1007.73
17.08888889,0.99,1007.8
17.66666667,0.96,1008.39
19.79444444,0.85,1008.32
22.01666667,0.74,1008.71
21.13888889,0.73,1009.28
21.04444444,0.73,1009.72
18.93888889,0.89,1010.77
18.91666667,0.9,1010.97
20.05,0.78,1010.28
21.06666667,0.73,1009.53
20.05,0.78,1009.78
20,0.83,1009.83
18.86666667,0.9,1010.18
17.95555556,0.96,1010.43
17.71111111,0.97,1010.09
17.73333333,0.93,1009.92
16.79444444,0.97,1010.08
16.66666667,0.97,1010.49
16.16111111,0.97,1010.1
17.01111111,0.91,1013.23
16.11666667,0.97,1010.3
16.11666667,0.97,1010.48
15.55555556,0.96,1010.86
14.00555556,1,1010.7
16.11666667,0.93,1011.39
16.05,0.93,1011.92
16.21111111,0.99,1012.57
17.80555556,0.89,1013.15
18.88333333,0.84,1013.59
20.18888889,0.77,1013.43
22.26666667,0.67,1013.32
22.35555556,0.7,1013.49
23.86666667,0.54,1013.22
23.88888889,0.58,1012.83
22.95555556,0.56,1012.85
22.47777778,0.58,0
20.85555556,0.7,1012.28
19.16111111,0.82,1012.44
17.73333333,0.84,1012.44
18.23888889,0.81,1012.62
17.81666667,0.88,1013.45
17.71111111,0.84,1013.41
17.2,0.9,1013.5
15.30555556,0.9,1015.55
16.55,0.93,1013.21
16.09444444,0.96,1013.21
15.55,0.93,1013.5
14.93333333,0.93,1013.79
17.08888889,0.93,1014.1
18.65555556,0.85,1014.13
19.81111111,0.79,1014.61
21.06111111,0.73,0
22.20555556,0.63,1015.48
22.75,0.57,1015
23.79444444,0.54,1015.18
23.48333333,0.51,1015.29
23.96111111,0.53,1015.17
24.95,0.5,1014.96
23.95555556,0.53,1014.66
23.95555556,0.5,1014.77
23.86111111,0.54,1014.68
19.26666667,0.75,1015.04
17.28888889,0.87,1015.58
16.62222222,0.93,1015.88
16.67222222,0.87,1015.95
15.07222222,0.93,1015.99
14.51666667,0.93,1015.89
17.84444444,0.8,1012.82
14.44444444,0.93,1015.98
13.88888889,0.96,1015.71
14.43333333,0.9,1015.63
14.92777778,0.87,1015.59
17.04444444,0.82,1015.49
18.78888889,0.78,1015.64
21.16111111,0.73,1015.46
23.86666667,0.62,1015.35
24.96666667,0.56,1015.21
26.13333333,0.47,1014.56
27.22222222,0.44,1014.36
27.73888889,0.39,1014.11
27.77777778,0.4,1013.56
27.8,0.39,1013.07
27.87222222,0.37,1012.83
26.15555556,0.43,1012.55
23.97777778,0.54,1012.46
22.57222222,0.58,1012.52
21.13888889,0.6,1012.58
20.43888889,0.67,1012.41
20.42777778,0.7,1012.66
19.35555556,0.74,1012.6
18.75,0.76,1012.59
19.87777778,0.85,1012.55
17.22222222,0.84,1012.09
16.64444444,0.87,1012.11
16.55,0.88,1012.39
16.09444444,0.87,1012.38
17.66666667,0.84,1012.66
20.78333333,0.7,1012.65
22.73333333,0.67,1012.39
26.01666667,0.55,1012.47
26.12777778,0.58,1012.91
28.83888889,0.51,0
29.00555556,0.51,1012.36
31.03333333,0.45,1012.33
31.13333333,0.36,1011.95
31.13333333,0.41,1011.74
31.21111111,0.41,1011.73
30.02222222,0.48,1011.45
27.87222222,0.58,1011.65
25.40555556,0.66,1011.99
22.75555556,0.79,1012.36
22.68888889,0.79,1012.47
21.2,0.84,1012.57
21.55,0.81,1012.66
21.43888889,0.82,1012.39
19.50555556,0.92,1015.42
19.86111111,0.88,1012.38
19.33333333,0.87,1012.48
18.75,0.91,1012.44
18.84444444,0.9,1012.47
19.91111111,0.87,1012.85
22.10555556,0.81,1012.81
24.95,0.69,0
25,0.74,1013.17
27.3,0.67,1014
27.96666667,0.62,1013.21
30.11666667,0.5,1012.98
